 value, bid
20.2,20
83.4,55
44,44
83.6,83.6
47.2,44
68.1,65
1.3,1.3
54.8,27.4
48.6,40
67,55
1.9,1.8
96.8,76.8
30.1,30
89.4,89.3
5.1,2.55
67.1,33.55
1.9,31
61.5,1
39.9,39
67.1,50
46.3,23.15
96.2,48.1
28.6,14.3
98.8,49.4
43.1,43
63.6,63
0.6,0.3
50.5,25.25
8.3,8.3
72,72
31.3,15.65
97.2,90
18.2,18.1
91,90.9
35.5,35
97.9,95
18.3,18.3
85.1,85.1
4.3,4
99.5,98
20.7,10.35
93.7,46.85
0.3,0.1
95.6,80
41.8,20.9
51.8,25.9
20.9,10
79.7,50
44.8,44.8
78.7,78.7
19.1,15.28
64.7,51.76
5.1,2.55
57.6,28.8
29.8, 
72.3, 
21.4,20
90.2,67
46.7,23.35
65.5,32.75
10.4,10.4
97.6,50
1.1,0.55
93.4,46.7
10.2,10.2
88.6,50
16.2,1
56.7,32
28,14
95.8,42.9
20.5,20
73.9,73
27.9,20
57.8,50
28.1,27.8
50.7,50.1
32.2,30
50,45
49.7,49.7
87.5,50
28.8,20
62.8,50
27.9,20
72.7,55
49.3,49.3
53.3,51
34.5,31
75.1,73
25.7,34
86.1,82
42.6,42
99,98
38.4,38.4
84.2,84.1
17.3,8.65
78,39
32,10
71.7,50
2.5,2
74.2,50
26.9,26.9
98.9,98.9
11.2,10
68.2,64
38.7,35
96.2,90
35,34.9999
78.4,78.3999
31.6,31
78,77
4.5,4.5
58.9,58.9
31,30
81.4,75
28.3,27
93.3,90
26.3,26.3
89.8,89.7
43.4,40
91.7,83
10.7,10.6
78.1,65
47.5,23.75
96.7,48.35
36.4,31
54.5,50
35.9,17.95
67,33.5
19.1,19
52.4,52.3
23.3,20
58.3,50
19.6,19.6
94.1,94.1
50,0
96.2,96
31.2,30
74.2,71
27.3,27.3
82.9,60
49.6,49.5
67.8,50.1
29.8,14.9
89,45
29.4,10
98.4,80
29.3,29.3
72,51
15,10
94.7,91
18.9,18.8
86.9,86.8
40.9,20.5
95.9,48
12.7,12.69
75.8,75.79
45.6,40.6
69.6,65.6
28.5,20
90.1,75
12,10
64.5,52
12.6,10
58.7,45
19.7,19
57.1,50
29,29
53.8,50
17.7,16.7
72,50
39.3,38
76.5,70
14.3,14
96.5,93
